ODP 1143  (Leg 184)			 	Scientific Results. Volume 184						
 LATITUDE: 9.3619 				X. Cheng. J. Tian. and P. Wang. Ms 184-221						
LONGITUDE: 113.2851				Table T2. Oxygen and carbon isotope data for benthic foraminifers. Site 1143.						
ELEVATION: -2772.3 m 										
										
Notes: C.wuellerstorfi = Cibicidoides wuellerstorfi. U.peregrina = Uvigerina peregrina. d13C and d18O given in reference to Peedee belemnite standard. * = adjustment factor as per Shackleton et al. (1995).										
										
Core.section. interval(cm)	Depth(mbsf)	Depth(mcd)	Age(ka)	Species	d13C(raw)	d13C_adjustment.factor	d18O(raw)	d18O_adjustment.factor	d13C(final)	d18O(final)
7H-3. 140-142	57.3	62.86	1277.03	C.wuellerstorfi	0.069	0	3.112	0.64	0.069	3.752
7H-4. 0-2	57.4	62.96	1279.04	C.wuellerstorfi	0.025	0	2.989	0.64	0.025	3.629
7H-4. 10-12	57.5	63.06	1281.06	C.wuellerstorfi	-0.096	0	2.985	0.64	-0.096	3.625
7H-4. 20-22	57.6	63.16	1283.07	C.wuellerstorfi	-0.305	0	2.998	0.64	-0.305	3.638
7H-4. 30-32	57.7	63.26	1285.09	C.wuellerstorfi	-0.077	0	2.357	0.64	-0.077	2.997
7H-4. 40-42	57.8	63.36	1287.1	C.wuellerstorfi	-0.399	0	3.249	0.64	-0.399	3.889
7H-4. 50-52	57.9	63.46	1290.22	C.wuellerstorfi	-0.491	0	3.523	0.64	-0.491	4.163
7H-4. 60-62	58	63.56	1293.34	C.wuellerstorfi	-0.371	0	3.534	0.64	-0.371	4.174
7H-4. 70-72	58.1	63.66	1296.45	C.wuellerstorfi	-0.631	0	2.947	0.64	-0.631	3.587
7H-4. 80-82	58.2	63.76	1299.18	C.wuellerstorfi	-0.343	0	3.628	0.64	-0.343	4.268
7H-4. 90-92	58.3	63.86	1301.55	C.wuellerstorfi	-0.548	0	3.346	0.64	-0.548	3.986
7H-4. 100-102	58.4	63.96	1303.91	C.wuellerstorfi	-0.515	0	4.239	0.64	-0.515	4.879
7H-4. 110-112	58.5	64.06	1306.27	C.wuellerstorfi	-0.331	0	3.506	0.64	-0.331	4.146
7H-4. 130-132	58.7	64.26	1311	C.wuellerstorfi	-0.166	0	2.723	0.64	-0.166	3.363
7H-4. 140-142	58.8	64.36	1311.5	C.wuellerstorfi	-0.029	0	3.297	0.64	-0.029	3.937
